State,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NEW YORK,8872,9515,10265,12481,12716,14747,14848,15569,19111,20255,23627,28498,30179,29743,32027,35802,34557,34688,32152,29868,28871,29505,28674,26425,27211,26955,25524,24866,26293,26918,25939,24548,23858,23653,23359,23011,22205,21252,21376,20733,19172,17776
OHIO,7148,8196,9367,10567,11313,11096,10668,11118,11668,12120,13978,18325,19191,22138,23452,22583,23320,22678,21727,20151,20637,21310,23787,24407,25719,26533,28228,29154,31897,30831,29510,26873,24604,22153,21540,21998,22189,22473,22792,21602,20728,20317
OKLAHOMA,2300,2850,2663,2885,3843,4513,4343,4354,5082,5569,6030,6997,6432,6243,7228,7049,7167,7726,7433,7604,7297,7694,7496,7965,8430,8158,9028,8882,8671,8815,7961,8148,8044,7477,7758,8041,10109,9751,8790,10244,9339,7517
OREGON,2103,2450,2463,2605,2913,2986,3517,3711,4112,4956,5474,5829,6050,6247,4513,3599,3184,3698,3712,3264,3688,4088,4115,4525,5068,5125,5392,6453,5496,5343,5408,5958,5464,5320,5380,5543,5338,5220,5028,5579,5593,5593
PENNSYLVANIA,3654,3515,4254,5129,5343,5720,5939,6172,6288,6381,7099,8813,9067,9611,10063,9893,11400,11053,9918,9584,10679,11260,11956,13081,13551,14227,14788,16911,17740,18280,18114,17136,16845,18349,18714,20599,20193,20295,20449,19455,18096,16962
RHODE ISLAND,239,279,326,364,435,510,454,517,545,467,673,800,864,840,829,875,934,890,1036,984,991,1328,3701,3506,3760,3881,773,943,906,1162,1119,986,958,878,893,827,836,638,791,583,620,664
SOUTH CAROLINA,3333,3765,4236,4338,4267,4188,4556,4949,5631,5742,5830,6651,6839,7009,8154,8189,7900,8304,8243,8210,8914,8279,8481,9241,9881,9966,9882,9468,9620,9927,9664,9374,8065,7334,6817,6441,6294,6167,6697,6023,5776,5862
SOUTH DAKOTA,352,343,389,405,481,533,595,631,735,677,653,813,852,764,854,820,869,978,1149,1161,1337,1403,1405,1566,1821,1921,2313,2669,2436,3235,3121,3181,2855,2831,1993,1857,2316,2698,2999,4037,4284,4465
TENNESSEE,3175,3584,3720,4684,4269,4658,5121,4855,3787,2833,2322,4708,4833,6350,6764,6695,6541,7083,8320,9312,8770,13689,13792,14400,15083,13121,13212,14300,13709,14566,14216,13811,13826,14305,13935,13811,14999,13546,12915,11557,12740,12978
TEXAS,12695,13383,15363,16750,21143,22859,23454,26759,32690,34502,34739,36928,45829,37820,39886,29916,44862,55432,38716,44417,59340,56376,84358,61276,63446,69925,66887,71891,71927,72531,73494,71492,73966,73447,75378,76488,75571,74851,77385,76878,78741,74393
UTAH,448,492,569,792,801,867,1057,995,1018,925,1093,1392,1487,1623,1670,1924,1995,2401,2587,2835,3076,3040,3275,2864,3067,3303,3276,3603,3534,3468,3401,3590,3384,3259,3146,3099,2931,2809,3299,4047,3733,4041
VIRGINIA,3507,3824,3734,4480,6289,5614,5233,5357,5944,6495,7091,9190,10081,12513,13235,12489,12591,11490,9823,10928,10152,8240,9791,11310,11310,11700,11645,11989,12834,13973,13625,12631,12221,11140,11727,11636,12237,11762,12163,12163,11657,12018
VERMONT,299,262,412,428,341,289,350,415,426,455,497,516,679,470,482,497,444,570,803,1057,824,905,1084,1078,1874,2067,2300,2346,2418,2375,2283,2110,2083,2044,1918,1860,1717,1717,1717,1739,2471,2562
WASHINGTON,2518,2287,2453,2961,2849,2796,2525,2842,2702,2903,3233,4155,4597,4905,5476,5425,5751,6169,6462,6761,7151,6960,7230,7302,8397,9144,12015,12774,15608,16526,15095,17108,17111,16365,18259,21467,20833,21876,25115,25520,24829,24166
WISCONSIN,1633,1593,1948,2341,2304,2649,2528,2589,2791,2868,2775,3254,3440,3968,4696,5814,6433,6943,7019,7471,8785,8868,8396,7442,7990,8000,8071,7774,8703,8592,7571,7245,7120,6411,6200,7361,6151,6480,6649,6919,7056,5270
WEST VIRGINIA,453,583,616,827,804,921,868,897,664,799,706,925,873,690,587,882,870,1116,1049,1077,1444,1308,1594,1785,2161,2097,2267,2605,2830,3333,3127,3204,3288,3415,3530,3579,3558,3889,3603,3596,3834,4177
WYOMING,232,274,258,326,379,361,340,401,348,344,367,422,476,432,406,513,568,628,614,693,757,805,669,738,781,796,780,789,851,762,792,823,839,867,916,1020,948,953,1008,1075,1073,959
