Jurisdiction ,Facility Name,Facility Type,Total RC,Date
San Bernardino,San Bernardino High Desert Detention Center,II,2098,7/6/2015
San Bernardino,West Valley Detention Center,II,3072,7/6/2015
San Diego,East Mesa Reentry Facility,II,760,7/6/2015
San Diego,Facility # 8,II,200,7/6/2015
San Diego,George Bailey Detention Facility,II,1380,7/6/2015
San Diego,Las Colinas Women's Detention,II,832,7/6/2015
San Diego,San Diego Central Jail,II,946,7/6/2015
San Diego,South Bay Detention Facility,II,386,7/6/2015
San Diego,Vista Detention Facility,II,807,7/6/2015
San Diego,Work Furlough/Correctional Alternatives Inc.,IV,483,7/6/2015
San Francisco,San Francisco County Jail #2,II,392,7/6/2015
San Francisco,San Francisco County Jail #3,II,426,7/6/2015
San Francisco,San Francisco County Jail #4,II,402,7/6/2015
San Francisco,San Francisco County Jail #5,II,768,7/6/2015
San Francisco,San Francisco County Jail #6,II,372,7/6/2015
San Joaquin,John J. Zunino Facility,II,840,7/6/2015
San Joaquin,San Joaquin County Honor Farm,II,493,7/6/2015
San Luis Obispo,San Luis Obispo County Jail,II,526,7/6/2015
San Luis Obispo,San Luis Obispo Honor Farm,III,120,7/6/2015
San Mateo,Maguire Correctional Facility,II,688,7/6/2015
San Mateo,Minimum Security Transitional Facility,III,46,7/6/2015
San Mateo,Womens Correctional Center,II,84,7/6/2015
San Mateo,Women's Transitional Facility,III,16,7/6/2015
Santa Barbara,Medium Security Facility,II,160,7/6/2015
Santa Barbara,Santa Barbara County Main Jail,II,627,7/6/2015
Santa Barbara,Santa Maria Jail,II,28,7/6/2015
Santa Clara,Elmwood Complex - Men's facility,II,2316,7/6/2015
Santa Clara,Elmwood Complex - Women's Facility,II,634,7/6/2015
Santa Clara,Santa Clara County Main Jail,II,1353,7/6/2015
Santa Cruz,Santa Cruz Blaine Womens Min,II,32,7/6/2015
Santa Cruz,Santa Cruz CountyJail,II,311,7/6/2015
Santa Cruz,Santa Cruz Medium Security,II,96,7/6/2015
Shasta,Shasta County Main Jail,II,381,7/6/2015
Sierra,Sierra County Jail,II,14,7/6/2015
Siskiyou,Siskiyou County Jail,II,104,7/6/2015
Solano,Claybank Facility,II,379,7/6/2015
Solano,Solano County Justice Center,II,705,7/6/2015
Sonoma,Sonoma Main Adult Detention,II,848,7/6/2015
Sonoma,Sonoma-North County Facility,II,561,7/6/2015
Stanislaus,Public Safety Cntr Units 1 & 2,II,384,7/6/2015
Stanislaus,Stanislaus Co Public Safety Center,II,510,7/6/2015
Stanislaus,Stanislaus County Men's Jail,II,342,7/6/2015
Sutter,Sutter County Jail,II,352,7/6/2015
Tehama,Tehama County Jail,II,191,7/6/2015
Trinity,Trinity Co. Detention Facility,II,53,7/6/2015
Tulare,Bob Wiley Detention Facility,II,696,7/6/2015
Tulare,Men's Correctional Facility,II,366,7/6/2015
Tulare,Pre-trial facility,II,384,7/6/2015
Tulare,Tulare County Jail,II,272,7/6/2015
Tuolumne,Tuolumne County Jail,II,147,7/6/2015
Ventura,Todd Road Jail,II,796,7/6/2015
Ventura,Ventura Co Work Furlough,IV,235,7/6/2015
Ventura,Ventura County Main Jail,II,828,7/6/2015
Yolo,Leinberger Center,II,120,7/6/2015
Yolo,Monroe Detention Center,II,272,7/6/2015
Yuba,Yuba County Jail,II,426,7/6/2015
Santa Ana PD,Santa Ana Police Facility,II,480,7/6/2015
Alameda,Glen Dyer Jail,II,904,4/1/2015
Alameda,Santa Rita Jail,II,3812,4/1/2015
Amador,Amador County Jail,II,76,4/1/2015
Butte,Butte County Jail,II,614,4/1/2015
Calaveras,Adult Detention Facility,II,128,4/1/2015
Colusa,Colusa County Jail,II,92,4/1/2015
Contra Costa,Marsh Creek Detention Facility,III,188,4/1/2015
Contra Costa,Martinez Detention Facility,II,695,4/1/2015
Contra Costa,West County Detention Facility,II,1104,4/1/2015
Del Norte,Del Norte County Jail,II,146,4/1/2015
El Dorado,El Dorado County Jail,II,303,4/1/2015
El Dorado,South Lake Tahoe Jail,II,158,4/1/2015
Fresno,Fresno County Main Jail,II,1064,4/1/2015
Fresno,Fresno North Annex Jail,II,1152,4/1/2015
Fresno,Fresno South Annex Jail,II,528,4/1/2015
Glenn,Glenn Co Adult Detention Fac,II,144,4/1/2015
Humboldt,Humboldt Co. Corr. Facility,II,417,4/1/2015
Imperial,Herbert Hughes Corr. Center,II,314,4/1/2015
Imperial,Imperial Adult Regional  Fac.,II,276,4/1/2015
Inyo,Inyo County Jail,II,96,4/1/2015
Kern,Central Receiving Facility,II,292,4/1/2015
Kern,Lerdo Maximum,II,374,4/1/2015
Kern,Lerdo Minimum Facility,II,800,4/1/2015
Kern,Lerdo Pre-Trial Facility,II,1344,4/1/2015
Kings,Kings County Branch Jail,II,203,4/1/2015
Kings,Kings County Jail Facility,II,373,4/1/2015
Lake,Lake County Jail- Hill Road Facility,II,286,4/1/2015
Lassen,Lassen Adult Detention Facility,II,149,4/1/2015
Los Angeles,L A Inmate Reception Center,II,336,4/1/2015
Los Angeles,LA Central Jail,II,5108,4/1/2015
Los Angeles,LA Century Reg. Det. Facility,II,1588,4/1/2015
Los Angeles,LA North County Corr. Facility,II,2208,4/1/2015
Los Angeles,LA Pitchess East Facility,II,926,4/1/2015
Los Angeles,LA Pitchess North Facility,II,768,4/1/2015
Los Angeles,LA Pitchess South (No.  Annex),II,906,4/1/2015
Los Angeles,LA Twin Towers Corr. Facility,II,2244,4/1/2015
Madera,Madera Adult Correctional Fac,II,563,4/1/2015
Marin,Marin County Jail,II,349,4/1/2015
Mariposa,Mariposa Co. Adult Det. Fac.,II,58,4/1/2015
Mendocino,Mendocino Adult Det. Facility,II,295,4/1/2015
Merced,John Latorraca Correctional Center,II,564,4/1/2015
Merced,Merced County Jail,II,189,4/1/2015
Modoc,Modoc County Jail,II,43,4/1/2015
Mono,Mono County Jail,II,48,4/1/2015
Monterey,Monterey County Jail,II,575,4/1/2015
Monterey,Monterey County Rehabilitation,II,250,4/1/2015
Napa,Napa County Jail,II,264,4/1/2015
Nevada,Wayne Brown Correctional Facility,II,284,4/1/2015
Orange,Intake Release Center,II,408,4/1/2015
Orange,James A  Musick Facilities,II,713,4/1/2015
Orange,Orange County Mens Jail,II,1219,4/1/2015
Orange,Orange County Women's Jail,II,275,4/1/2015
Orange,Theo Lacy,II,2448,4/1/2015
Placer,Placer County Main Jail,II,492,4/1/2015
Placer,So. Placer Mimimum Security,II,120,4/1/2015
Placer,South Placer Jail,II,300,4/1/2015
Plumas,Plumas County Jail,II,67,4/1/2015
Riverside,Blythe Jail,II,79,4/1/2015
Riverside,Indio Jail,II,240,4/1/2015
Riverside,Larry D. Smith Correctional Facility,II,1458,4/1/2015
Riverside,Robert Presley Detention Ctr.,II,963,4/1/2015
Riverside,Southwest Detention Center,II,1094,4/1/2015
Sacramento,Rio Cosumnes Correctional Ctr.,II,1625,4/1/2015
Sacramento,Sacramento County Main Jail,II,2380,4/1/2015
San Benito,San Benito Adult Detention,II,142,4/1/2015
San Bernardino,San Bernardino Central Detention Center,II,772,4/1/2015
San Bernardino,San Bernardino Glen Helen,II,1070,4/1/2015
San Bernardino,San Bernardino High Desert Detention Center,II,2098,4/1/2015
San Bernardino,West Valley Detention Center,II,3072,4/1/2015
San Diego,East Mesa Reentry Facility,II,760,4/1/2015
San Diego,Facility # 8,II,200,4/1/2015
San Diego,George Bailey Detention Facility,II,1380,4/1/2015
San Diego,Las Colinas Women's Detention,II,832,4/1/2015
San Diego,San Diego Central Jail,II,946,4/1/2015
San Diego,South Bay Detention Facility,II,386,4/1/2015
San Diego,Vista Detention Facility,II,807,4/1/2015
San Diego,Work Furlough/Correctional Alternatives Inc.,IV,483,4/1/2015
San Francisco,San Francisco County Jail #2,II,392,4/1/2015
San Francisco,San Francisco County Jail #3,II,426,4/1/2015
San Francisco,San Francisco County Jail #4,II,402,4/1/2015
San Francisco,San Francisco County Jail #5,II,768,4/1/2015
San Francisco,San Francisco County Jail #6,II,372,4/1/2015
San Joaquin,John J. Zunino Facility,II,840,4/1/2015
San Joaquin,San Joaquin County Honor Farm,II,493,4/1/2015
San Luis Obispo,San Luis Obispo County Jail,II,526,4/1/2015
San Luis Obispo,San Luis Obispo Honor Farm,III,120,4/1/2015
San Mateo,Maguire Correctional Facility,II,688,4/1/2015
San Mateo,Minimum Security Transitional Facility,III,46,4/1/2015
San Mateo,Womens Correctional Center,II,84,4/1/2015
San Mateo,Women's Transitional Facility,III,16,4/1/2015
Santa Barbara,Medium Security Facility,II,160,4/1/2015
Santa Barbara,Santa Barbara County Main Jail,II,627,4/1/2015
Santa Barbara,Santa Maria Jail,II,28,4/1/2015
Santa Clara,Elmwood Complex - Men's facility,II,2316,4/1/2015
Santa Clara,Elmwood Complex - Women's Facility,II,634,4/1/2015
Santa Clara,Santa Clara County Main Jail,II,1353,4/1/2015
Santa Cruz,Santa Cruz Blaine Womens Min,II,32,4/1/2015
Santa Cruz,Santa Cruz CountyJail,II,311,4/1/2015
Santa Cruz,Santa Cruz Medium Security,II,96,4/1/2015
Shasta,Shasta County Main Jail,II,381,4/1/2015
Sierra,Sierra County Jail,II,14,4/1/2015
Siskiyou,Siskiyou County Jail,II,104,4/1/2015
Solano,Claybank Facility,II,379,4/1/2015
Solano,Solano County Justice Center,II,705,4/1/2015
Sonoma,Sonoma Main Adult Detention,II,848,4/1/2015
Sonoma,Sonoma-North County Facility,II,561,4/1/2015
Stanislaus,Public Safety Cntr Units 1 & 2,II,384,4/1/2015
Stanislaus,Stanislaus Co Public Safety Center,II,510,4/1/2015
Stanislaus,Stanislaus County Men's Jail,II,342,4/1/2015
Sutter,Sutter County Jail,II,352,4/1/2015
Tehama,Tehama County Jail,II,191,4/1/2015
Trinity,Trinity Co. Detention Facility,II,53,4/1/2015
Tulare,Bob Wiley Detention Facility,II,696,4/1/2015
Tulare,Men's Correctional Facility,II,366,4/1/2015
Tulare,Pre-trial facility,II,384,4/1/2015
Tulare,Tulare County Jail,II,272,4/1/2015
Tuolumne,Tuolumne County Jail,II,147,4/1/2015
Ventura,Todd Road Jail,II,796,4/1/2015
Ventura,Ventura Co Work Furlough,IV,235,4/1/2015
Ventura,Ventura County Main Jail,II,828,4/1/2015
Yolo,Leinberger Center,II,120,4/1/2015
Yolo,Monroe Detention Center,II,272,4/1/2015
Yuba,Yuba County Jail,II,426,4/1/2015
Santa Ana PD,Santa Ana Police Facility,II,480,4/1/2015
Alameda,Glen Dyer Jail,II,904,1/2/2015
Alameda,Santa Rita Jail,II,3812,1/2/2015
Amador,Amador County Jail,II,76,1/2/2015
Butte,Butte County Jail,II,614,1/2/2015
Calaveras,Adult Detention Facility,II,128,1/2/2015
Colusa,Colusa County Jail,II,92,1/2/2015
Contra Costa,Marsh Creek Detention Facility,III,188,1/2/2015
Contra Costa,Martinez Detention Facility,II,695,1/2/2015
Contra Costa,West County Detention Facility,II,1104,1/2/2015
Del Norte,Del Norte County Jail,II,146,1/2/2015
El Dorado,El Dorado County Jail,II,303,1/2/2015
El Dorado,South Lake Tahoe Jail,II,158,1/2/2015
Fresno,Fresno County Main Jail,II,1064,1/2/2015
Fresno,Fresno North Annex Jail,II,1152,1/2/2015
Fresno,Fresno South Annex Jail,II,528,1/2/2015
Glenn,Glenn Co Adult Detention Fac,II,144,1/2/2015
Humboldt,Humboldt Co. Corr. Facility,II,417,1/2/2015
Imperial,Herbert Hughes Corr. Center,II,314,1/2/2015
Imperial,Imperial Adult Regional  Fac.,II,276,1/2/2015
Inyo,Inyo County Jail,II,96,1/2/2015
Kern,Central Receiving Facility,II,292,1/2/2015
Kern,Lerdo Maximum,II,374,1/2/2015
Kern,Lerdo Minimum Facility,II,800,1/2/2015
Kern,Lerdo Pre-Trial Facility,II,1344,1/2/2015
Kings,Kings County Branch Jail,II,203,1/2/2015
Kings,Kings County Jail Facility,II,373,1/2/2015
Lake,Lake County Jail- Hill Road Facility,II,286,1/2/2015
Lassen,Lassen Adult Detention Facility,II,149,1/2/2015
Los Angeles,L A Inmate Reception Center,II,336,1/2/2015
Los Angeles,LA Central Jail,II,5108,1/2/2015
Los Angeles,LA Century Reg. Det. Facility,II,1588,1/2/2015
Los Angeles,LA North County Corr. Facility,II,2208,1/2/2015
Los Angeles,LA Pitchess East Facility,II,926,1/2/2015
Los Angeles,LA Pitchess North Facility,II,768,1/2/2015
Los Angeles,LA Pitchess South (No.  Annex),II,906,1/2/2015
Los Angeles,LA Twin Towers Corr. Facility,II,2244,1/2/2015
Madera,Madera Adult Correctional Fac,II,563,1/2/2015
Marin,Marin County Jail,II,349,1/2/2015
Mariposa,Mariposa Co. Adult Det. Fac.,II,58,1/2/2015
Mendocino,Mendocino Adult Det. Facility,II,295,1/2/2015
Merced,John Latorraca Correctional Center,II,564,1/2/2015
Merced,Merced County Jail,II,189,1/2/2015
Modoc,Modoc County Jail,II,43,1/2/2015
Mono,Mono County Jail,II,48,1/2/2015
Monterey,Monterey County Jail,II,575,1/2/2015
Monterey,Monterey County Rehabilitation,II,250,1/2/2015
Napa,Napa County Jail,II,264,1/2/2015
Nevada,Wayne Brown Correctional Facility,II,284,1/2/2015
Orange,Intake Release Center,II,408,1/2/2015
Orange,James A  Musick Facilities,II,713,1/2/2015
Orange,Orange County Mens Jail,II,1219,1/2/2015
Orange,Orange County Women's Jail,II,275,1/2/2015
Orange,Theo Lacy,II,2448,1/2/2015
Placer,Placer County Main Jail,II,492,1/2/2015
Placer,So. Placer Mimimum Security,II,120,1/2/2015
Placer,South Placer Jail,II,300,1/2/2015
Plumas,Plumas County Jail,II,67,1/2/2015
Riverside,Blythe Jail,II,79,1/2/2015
Riverside,Indio Jail,II,240,1/2/2015
Riverside,Larry D. Smith Correctional Facility,II,1458,1/2/2015
Riverside,Robert Presley Detention Ctr.,II,963,1/2/2015
Riverside,Southwest Detention Center,II,1094,1/2/2015
Sacramento,Rio Cosumnes Correctional Ctr.,II,1625,1/2/2015
Sacramento,Sacramento County Main Jail,II,2380,1/2/2015
San Benito,San Benito Adult Detention,II,142,1/2/2015
San Bernardino,San Bernardino Central Detention Center,II,772,1/2/2015
San Bernardino,San Bernardino Glen Helen,II,1070,1/2/2015
San Bernardino,San Bernardino High Desert Detention Center,II,2098,1/2/2015
San Bernardino,West Valley Detention Center,II,3072,1/2/2015
San Diego,East Mesa Reentry Facility,II,760,1/2/2015
San Diego,Facility # 8,II,200,1/2/2015
San Diego,George Bailey Detention Facility,II,1380,1/2/2015
San Diego,Las Colinas Women's Detention,II,832,1/2/2015
San Diego,San Diego Central Jail,II,946,1/2/2015
San Diego,South Bay Detention Facility,II,386,1/2/2015
San Diego,Vista Detention Facility,II,807,1/2/2015
San Diego,Work Furlough/Correctional Alternatives Inc.,IV,483,1/2/2015
San Francisco,San Francisco County Jail #2,II,392,1/2/2015
San Francisco,San Francisco County Jail #3,II,426,1/2/2015
San Francisco,San Francisco County Jail #4,II,402,1/2/2015
San Francisco,San Francisco County Jail #5,II,768,1/2/2015
San Francisco,San Francisco County Jail #6,II,372,1/2/2015
San Joaquin,John J. Zunino Facility,II,840,1/2/2015
San Joaquin,San Joaquin County Honor Farm,II,493,1/2/2015
San Luis Obispo,San Luis Obispo County Jail,II,526,1/2/2015
San Luis Obispo,San Luis Obispo Honor Farm,III,120,1/2/2015
San Mateo,Maguire Correctional Facility,II,688,1/2/2015
San Mateo,Minimum Security Transitional Facility,III,46,1/2/2015
San Mateo,Womens Correctional Center,II,84,1/2/2015
San Mateo,Women's Transitional Facility,III,16,1/2/2015
Santa Barbara,Medium Security Facility,II,161,1/2/2015
Santa Barbara,Santa Barbara County Main Jail,II,627,1/2/2015
Santa Barbara,Santa Maria Jail,II,28,1/2/2015
Santa Clara,Elmwood Complex - Men's facility,II,2316,1/2/2015
Santa Clara,Elmwood Complex - Women's Facility,II,634,1/2/2015
Santa Clara,Santa Clara County Main Jail,II,1353,1/2/2015
Santa Cruz,Santa Cruz Blaine Womens Min,II,32,1/2/2015
Santa Cruz,Santa Cruz CountyJail,II,311,1/2/2015
Santa Cruz,Santa Cruz Medium Security,II,96,1/2/2015
Shasta,Shasta County Main Jail,II,381,1/2/2015
Sierra,Sierra County Jail,II,14,1/2/2015
Siskiyou,Siskiyou County Jail,II,104,1/2/2015
Solano,Claybank Facility,II,379,1/2/2015
Solano,Solano County Justice Center,II,705,1/2/2015
Sonoma,Sonoma Main Adult Detention,II,848,1/2/2015
Sonoma,Sonoma-North County Facility,II,561,1/2/2015
Stanislaus,Public Safety Cntr Units 1 & 2,II,384,1/2/2015
Stanislaus,Stanislaus Co Public Safety Center,II,510,1/2/2015
Stanislaus,Stanislaus County Men's Jail,II,342,1/2/2015
Sutter,Sutter County Jail,II,352,1/2/2015
Tehama,Tehama County Jail,II,191,1/2/2015
Trinity,Trinity Co. Detention Facility,II,53,1/2/2015
Tulare,Bob Wiley Detention Facility,II,696,1/2/2015
Tulare,Men's Correctional Facility,II,366,1/2/2015
Tulare,Pre-trial facility,II,384,1/2/2015
Tulare,Tulare County Jail,II,272,1/2/2015
Tuolumne,Tuolumne County Jail,II,147,1/2/2015
Ventura,Todd Road Jail,II,782,1/2/2015
Ventura,Ventura Co Work Furlough,IV,235,1/2/2015
Ventura,Ventura County Main Jail,II,793,1/2/2015
Yolo,Leinberger Center,II,120,1/2/2015
Yolo,Monroe Detention Center,II,272,1/2/2015
Yuba,Yuba County Jail,II,426,1/2/2015
Santa Ana PD,Santa Ana Police Facility,II,480,1/2/2015
Alameda,Glen Dyer Jail,II,904,10/2/2014
Alameda,Santa Rita Jail,II,3812,10/2/2014
Amador,Amador County Jail,II,76,10/2/2014
Butte,Butte County Jail,II,614,10/2/2014
Calaveras,Calaveras Co Detention Facility,II,80,10/2/2014
Calaveras,Calaveras County Jail,II,65,10/2/2014
Colusa,Colusa County Jail,II,92,10/2/2014
Contra Costa,Marsh Creek Detention Facility,III,188,10/2/2014
Contra Costa,Martinez Detention Facility,II,695,10/2/2014
Contra Costa,West County Detention Facility,II,1104,10/2/2014
Del Norte,Del Norte County Jail,II,146,10/2/2014
El Dorado,El Dorado County Jail,II,303,10/2/2014
El Dorado,South Lake Tahoe Jail,II,158,10/2/2014
Fresno,Fresno County Main Jail,II,1064,10/2/2014
Fresno,Fresno North Annex Jail,II,1152,10/2/2014
Fresno,Fresno South Annex Jail,II,528,10/2/2014
Glenn,Glenn Co Adult Detention Fac,II,144,10/2/2014
Humboldt,Humboldt Co. Corr. Facility,II,417,10/2/2014
Imperial,Herbert Hughes Corr. Center,II,100,10/2/2014
Imperial,Imperial Adult Regional  Fac.,II,276,10/2/2014
Inyo,Inyo County Jail,II,96,10/2/2014
Kern,Central Receiving Facility,II,292,10/2/2014
Kern,Lerdo Maximum,II,374,10/2/2014
Kern,Lerdo Minimum Facility,II,800,10/2/2014
Kern,Lerdo Pre-Trial Facility,II,1344,10/2/2014
Kings,Kings County Branch Jail,II,203,10/2/2014
Kings,Kings County Jail Facility,II,373,10/2/2014
Lake,Lake County Jail- Hill Road Facility,II,286,10/2/2014
Lassen,Lassen Adult Detention Facility,II,149,10/2/2014
Los Angeles,L A Inmate Reception Center,II,336,10/2/2014
Los Angeles,LA Central Jail,II,5108,10/2/2014
Los Angeles,LA Century Reg. Det. Facility,II,1588,10/2/2014
Los Angeles,LA North County Corr. Facility,II,2208,10/2/2014
Los Angeles,LA Pitchess East Facility,II,926,10/2/2014
Los Angeles,LA Pitchess North Facility,II,768,10/2/2014
Los Angeles,LA Pitchess South (No.  Annex),II,906,10/2/2014
Los Angeles,LA Twin Towers Corr. Facility,II,2244,10/2/2014
Madera,Madera Adult Correctional Fac,II,563,10/2/2014
Marin,Marin County Jail,II,349,10/2/2014
Mariposa,Mariposa Co. Adult Det. Fac.,II,58,10/2/2014
Mendocino,Mendocino Adult Det. Facility,II,295,10/2/2014
Merced,John Latorraca Correctional Facility,II,564,10/2/2014
Merced,Merced County Jail,II,189,10/2/2014
Modoc,Modoc County Jail,II,43,10/2/2014
Mono,Mono County Jail,II,48,10/2/2014
Monterey,Monterey County Jail,II,575,10/2/2014
Monterey,Monterey County Rehabilitation,II,250,10/2/2014
Napa,Napa County Jail,II,264,10/2/2014
Nevada,Wayne Brown Correctional Facility,II,284,10/2/2014
Orange,Intake Release Center,II,408,10/2/2014
Orange,James A  Musick Facilities,II,713,10/2/2014
Orange,Orange County Mens Jail,II,1219,10/2/2014
Orange,Orange County Women's Jail,II,275,10/2/2014
Orange,Theo Lacy,II,2448,10/2/2014
Placer,Placer County Main Jail,II,492,10/2/2014
Placer,So. Placer Mimimum Security,II,120,10/2/2014
Placer,South Placer Jail,II,300,10/2/2014
Plumas,Plumas County Jail,II,67,10/2/2014
Riverside,Blythe Jail,II,79,10/2/2014
Riverside,Indio Jail,II,240,10/2/2014
Riverside,Larry D. Smith Correctional Facility,II,1458,10/2/2014
Riverside,Robert Presley Detention Ctr.,II,963,10/2/2014
Riverside,Southwest Detention Center,II,1094,10/2/2014
Sacramento,Rio Cosumnes Correctional Ctr.,II,1625,10/2/2014
Sacramento,Sacramento County Main Jail,II,2380,10/2/2014
San Benito,San Benito Adult Detention,II,142,10/2/2014
San Bernardino,San Bernardino Central Detention Center,II,772,10/2/2014
San Bernardino,San Bernardino Glen Helen,II,1070,10/2/2014
San Bernardino,San Bernardino High Desert Detention Center,II,2098,10/2/2014
San Bernardino,West Valley Detention Center,II,3072,10/2/2014
San Diego,East Mesa Reentry Facility,II,760,10/2/2014
San Diego,Facility # 8,II,200,10/2/2014
San Diego,George Bailey Detention Facility,II,1380,10/2/2014
San Diego,Las Colinas Women's Detention,II,832,10/2/2014
San Diego,San Diego Central Jail,II,946,10/2/2014
San Diego,South Bay Detention Facility,II,386,10/2/2014
San Diego,Vista Detention Facility,II,807,10/2/2014
San Diego,Work Furlough/Correctional Alternatives Inc.,IV,483,10/2/2014
San Francisco,San Francisco County Jail #2,II,392,10/2/2014
San Francisco,San Francisco County Jail #3,II,426,10/2/2014
San Francisco,San Francisco County Jail #4,II,402,10/2/2014
San Francisco,San Francisco County Jail #5,II,768,10/2/2014
San Francisco,San Francisco County Jail #6,II,372,10/2/2014
San Joaquin,John J. Zunino Facility,II,840,10/2/2014
San Joaquin,San Joaquin County Honor Farm,II,493,10/2/2014
San Luis Obispo,San Luis Obispo County Jail,II,526,10/2/2014
San Luis Obispo,San Luis Obispo Honor Farm,III,120,10/2/2014
San Mateo,Maguire Correctional Facility,II,688,10/2/2014
San Mateo,Minimum Security Transitional Facility,III,46,10/2/2014
San Mateo,Womens Correctional Center,II,84,10/2/2014
San Mateo,Women's Transitional Facility,III,16,10/2/2014
Santa Barbara,Medium Security Facility,II,161,10/2/2014
Santa Barbara,Santa Barbara County Main Jail,II,627,10/2/2014
Santa Barbara,Santa Maria Jail,II,28,10/2/2014
Santa Clara,Elmwood Complex - Men's facility,II,2316,10/2/2014
Santa Clara,Elmwood Complex - Women's Facility,II,634,10/2/2014
Santa Clara,Santa Clara County Main Jail,II,1353,10/2/2014
Santa Cruz,Santa Cruz Blaine Womens Min,II,32,10/2/2014
Santa Cruz,Santa Cruz CountyJail,II,311,10/2/2014
Santa Cruz,Santa Cruz Medium Security,II,96,10/2/2014
Shasta,Shasta County Main Jail,II,381,10/2/2014
Sierra,Sierra County Jail,II,14,10/2/2014
Siskiyou,Siskiyou County Jail,II,104,10/2/2014
Solano,Claybank Facility,II,379,10/2/2014
Solano,Solano County Justice Center,II,705,10/2/2014
Sonoma,Sonoma Main Adult Detention,II,848,10/2/2014
Sonoma,Sonoma-North County Facility,II,561,10/2/2014
Stanislaus,Public Safety Cntr Units 1 & 2,II,384,10/2/2014
Stanislaus,Stanislaus Co Public Safety Center,II,510,10/2/2014
Stanislaus,Stanislaus County Men's Jail,II,342,10/2/2014
Sutter,Sutter County Jail,II,352,10/2/2014
Tehama,Tehama County Jail,II,191,10/2/2014
Trinity,Trinity Co. Detention Facility,II,53,10/2/2014
Tulare,Bob Wiley Detention Facility,II,696,10/2/2014
Tulare,Men's Correctional Facility,II,366,10/2/2014
Tulare,Pre-trial facility,II,384,10/2/2014
Tulare,Tulare County Jail,II,272,10/2/2014
Tuolumne,Tuolumne County Jail,II,147,10/2/2014
Ventura,Todd Road Jail,II,782,10/2/2014
Ventura,Ventura Co Work Furlough,IV,235,10/2/2014
Ventura,Ventura County Main Jail,II,793,10/2/2014
Yolo,Leinberger Center,II,120,10/2/2014
Yolo,Monroe Detention Center,II,272,10/2/2014
Yuba,Yuba County Jail,II,426,10/2/2014
Santa Ana PD,Santa Ana Police Facility,II,480,10/2/2014
Alameda,Glen Dyer Jail,II,904,7/1/2014
Alameda,Santa Rita Jail,II,3812,7/1/2014
Amador,Amador County Jail,II,76,7/1/2014
Butte,Butte County Jail,II,614,7/1/2014
Calaveras,Calaveras Co Detention Facility,II,80,7/1/2014
Calaveras,Calaveras County Jail,II,65,7/1/2014
Colusa,Colusa County Jail,II,92,7/1/2014
Contra Costa,Marsh Creek Detention Facility,III,188,7/1/2014
Contra Costa,Martinez Detention Facility,II,695,7/1/2014
Contra Costa,West County Detention Facility,II,1104,7/1/2014
Del Norte,Del Norte County Jail,II,103,7/1/2014
El Dorado,El Dorado County Jail,II,303,7/1/2014
El Dorado,South Lake Tahoe Jail,II,158,7/1/2014
Fresno,Fresno County Main Jail,II,1064,7/1/2014
Fresno,Fresno North Annex Jail,II,1152,7/1/2014
Fresno,Fresno South Annex Jail,II,528,7/1/2014
Glenn,Glenn Co Adult Detention Fac,II,144,7/1/2014
Humboldt,Humboldt Co. Corr. Facility,II,417,7/1/2014
Imperial,Herbert Hughes Corr. Center,II,100,7/1/2014
Imperial,Imperial Adult Regional  Fac.,II,276,7/1/2014
Inyo,Inyo County Jail,II,96,7/1/2014
Kern,Central Receiving Facility,II,292,7/1/2014
Kern,Lerdo Maximum,II,374,7/1/2014
Kern,Lerdo Minimum Facility,II,800,7/1/2014
Kern,Lerdo Pre-Trial Facility,II,1344,7/1/2014
Kings,Kings County Branch Jail,II,203,7/1/2014
Kings,Kings County Jail Facility,II,373,7/1/2014
Lake,Lake County Jail- Hill Road Facility,II,286,7/1/2014
Lassen,Lassen Adult Detention Facility,II,149,7/1/2014
Los Angeles,L A Inmate Reception Center,II,336,7/1/2014
Los Angeles,LA Central Jail,II,5108,7/1/2014
Los Angeles,LA Century Reg. Det. Facility,II,1588,7/1/2014
Los Angeles,LA North County Corr. Facility,II,2208,7/1/2014
Los Angeles,LA Pitchess East Facility,II,926,7/1/2014
Los Angeles,LA Pitchess North Facility,II,768,7/1/2014
Los Angeles,LA Pitchess South (No.  Annex),II,906,7/1/2014
Los Angeles,LA Twin Towers Corr. Facility,II,2244,7/1/2014
Madera,Madera Adult Correctional Fac,II,563,7/1/2014
Marin,Marin County Jail,II,349,7/1/2014
Mariposa,Mariposa Co. Adult Det. Fac.,II,58,7/1/2014
Mendocino,Mendocino Adult Det. Facility,II,295,7/1/2014
Merced,John Latorraca Correctional Facility,II,564,7/1/2014
Merced,Merced County Jail,II,189,7/1/2014
Modoc,Modoc County Jail,II,43,7/1/2014
Mono,Mono County Jail,II,48,7/1/2014
Monterey,Monterey County Jail,II,575,7/1/2014
Monterey,Monterey County Rehabilitation,II,250,7/1/2014
Napa,Napa County Jail,II,264,7/1/2014
Nevada,Wayne Brown Correctional Facility,II,284,7/1/2014
Orange,Intake Release Center,II,408,7/1/2014
Orange,James A  Musick Facilities,II,713,7/1/2014
Orange,Orange County Mens Jail,II,1219,7/1/2014
Orange,Orange County Women's Jail,II,275,7/1/2014
Orange,Theo Lacy,II,2448,7/1/2014
Placer,Placer County Main Jail,II,488,7/1/2014
Placer,So. Placer Mimimum Security,II,120,7/1/2014
Placer,South Placer Jail,II,300,7/1/2014
